,date,category,value,label
0,2018-01-01,Abandoned Vehicle,52,0
1,2018-01-01,Blocked Street or SideWalk,14,0
2,2018-01-01,Catch Basin Maintenance,1,0
3,2018-01-01,Color Curb,2,0
4,2018-01-01,Damaged Property,18,0
5,2018-01-01,Encampments,157,0
6,2018-01-01,General Request - ANIMAL CARE CONTROL,1,0
7,2018-01-01,General Request - ART COMMISSION,1,0
8,2018-01-01,General Request - COUNTY CLERK,3,0
9,2018-01-01,General Request - DPH,3,0
10,2018-01-01,General Request - MTA,1,0
11,2018-01-01,General Request - PLANNING,1,0
12,2018-01-01,General Request - PUBLIC WORKS,15,0
13,2018-01-01,General Request - PUC,3,0
14,2018-01-01,General Request - RPD,1,0
15,2018-01-01,Graffiti,89,0
16,2018-01-01,Homeless Concerns,131,0
17,2018-01-01,Illegal Postings,4,0
18,2018-01-01,Litter Receptacles,8,0
19,2018-01-01,MUNI Feedback,19,0
20,2018-01-01,Noise Report,28,0
21,2018-01-01,Rec and Park Requests,24,0
22,2018-01-01,Residential Building Request,9,0
23,2018-01-01,SFHA Requests,3,0
24,2018-01-01,Sewer Issues,9,0
25,2018-01-01,Sidewalk or Curb,8,0
26,2018-01-01,Sign Repair,10,0
27,2018-01-01,Street Defects,1,0
28,2018-01-01,Street and Sidewalk Cleaning,446,0
29,2018-01-01,Streetlights,15,0
30,2018-01-01,Tree Maintenance,9,0
31,2018-01-02,311 External Request,1,0
32,2018-01-02,Abandoned Vehicle,111,0
33,2018-01-02,Blocked Street or SideWalk,19,0
34,2018-01-02,Catch Basin Maintenance,1,0
35,2018-01-02,Color Curb,1,0
36,2018-01-02,Damaged Property,36,0
37,2018-01-02,Encampments,238,0
38,2018-01-02,General Request - 311CUSTOMERSERVICECENTER,3,0
39,2018-01-02,General Request - ANIMAL CARE CONTROL,3,0
40,2018-01-02,General Request - ASSESSOR RECORDER,4,0
41,2018-01-02,General Request - BUILDING INSPECTION,2,0
42,2018-01-02,General Request - COUNTY CLERK,19,0
43,2018-01-02,General Request - DPH,13,0
44,2018-01-02,General Request - MTA,13,0
45,2018-01-02,General Request - PLANNING,1,0
46,2018-01-02,General Request - PORT AUTHORITY,1,0
47,2018-01-02,General Request - PUBLIC WORKS,28,0
48,2018-01-02,General Request - PUC,5,0
49,2018-01-02,General Request - REAL ESTATE DEPARTMENT,1,0
50,2018-01-02,General Request - RPD,1,0
51,2018-01-02,General Request - TT COLLECTOR,5,0
52,2018-01-02,Graffiti,260,0
