date,category,value,label
2018-01-01,311 External Request,0.0,0
2018-01-01,Abandoned Vehicle,52.0,0
2018-01-01,Blocked Street or SideWalk,14.0,0
2018-01-01,Catch Basin Maintenance,1.0,0
2018-01-01,Color Curb,2.0,0
2018-01-01,Construction Zone Permits,0.0,0
2018-01-01,DPW Volunteer Programs,0.0,0
2018-01-01,Damaged Property,18.0,0
2018-01-01,Encampments,157.0,0
2018-01-01,Entertainment Commission,0.0,0
2018-01-01,General Request -,0.0,0
2018-01-01,General Request - 311CUSTOMERSERVICECENTER,0.0,0
2018-01-01,General Request - ADULT PROBATION,0.0,0
2018-01-01,General Request - AGING ADULT SERVICES,0.0,0
2018-01-01,General Request - AIRPORT SFO,0.0,0
2018-01-01,General Request - ANIMAL CARE CONTROL,1.0,0
2018-01-01,General Request - ART COMMISSION,1.0,0
2018-01-01,General Request - ASSESSOR RECORDER,0.0,0
2018-01-01,General Request - BOARD OF SUPERVISORS,0.0,0
2018-01-01,General Request - BUILDING INSPECTION,0.0,0
2018-01-01,General Request - CENTRAL SHOPS,0.0,0
2018-01-01,General Request - CHILDREN YOUTH FAMILIES,0.0,0
2018-01-01,General Request - CHILDSUPPORTSERVICES,0.0,0
2018-01-01,General Request - CITY ATTORNEY,0.0,0
2018-01-01,General Request - CITY HALL,0.0,0
2018-01-01,General Request - CITYADMINISTRATOR GSA,0.0,0
2018-01-01,General Request - CONTRACT ADMINISTRATION,0.0,0
2018-01-01,General Request - CONTROLLER,0.0,0
2018-01-01,General Request - COUNTY CLERK,3.0,0
2018-01-01,General Request - DISTRICT ATTORNEY,0.0,0
2018-01-01,General Request - DPH,3.0,0
2018-01-01,General Request - DTIS,0.0,0
2018-01-01,General Request - ECONOMICS AND WORKFORCE DEVELOPMENT,0.0,0
2018-01-01,General Request - ELECTIONS,0.0,0
2018-01-01,General Request - ENTERTAINMENT COMMISSION,0.0,0
2018-01-01,General Request - ENVIRONMENT,0.0,0
2018-01-01,General Request - ETHICS COMMISSION,0.0,0
2018-01-01,General Request - FILM COMMISSION,0.0,0
2018-01-01,General Request - FIRE DEPARTMENT,0.0,0
2018-01-01,General Request - HSH,0.0,0
2018-01-01,General Request - HUMAN RESOURCES,0.0,0
2018-01-01,General Request - HUMAN RIGHTS COMMISSION,0.0,0
2018-01-01,General Request - HUMAN SERVICES AGENCY,0.0,0
2018-01-01,General Request - LABOR STANDARDS ENFORCEMENT,0.0,0
2018-01-01,General Request - LIBRARY PUBLIC,0.0,0
2018-01-01,General Request - MEDICAL EXAMINER,0.0,0
2018-01-01,General Request - MOCD,0.0,0
2018-01-01,General Request - MOCJ,0.0,0
2018-01-01,General Request - MOD,0.0,0
2018-01-01,General Request - MOH,0.0,0
2018-01-01,General Request - MONS,0.0,0
2018-01-01,General Request - MTA,1.0,0
2018-01-01,General Request - OCC,0.0,0
2018-01-01,General Request - PLANNING,1.0,0
2018-01-01,General Request - PORT AUTHORITY,0.0,0
2018-01-01,General Request - PUBLIC WORKS,15.0,0
2018-01-01,General Request - PUC,3.0,0
2018-01-01,General Request - REAL ESTATE DEPARTMENT,0.0,0
2018-01-01,General Request - RENT BOARD,0.0,0
2018-01-01,General Request - RPD,1.0,0
2018-01-01,General Request - SFPD,0.0,0
2018-01-01,General Request - SHERIFF,0.0,0
2018-01-01,General Request - SHORT TERM RENTALS,0.0,0
2018-01-01,General Request - SMALL BUSINESS,0.0,0
2018-01-01,General Request - TIDA,0.0,0
2018-01-01,General Request - TT COLLECTOR,0.0,0
2018-01-01,Graffiti,89.0,0
2018-01-01,Homeless Concerns,131.0,0
2018-01-01,Illegal Postings,4.0,0
2018-01-01,Litter Receptacles,8.0,0
2018-01-01,MUNI Feedback,19.0,0
2018-01-01,Noise Report,28.0,0
2018-01-01,Rec and Park Requests,24.0,0
