,Unnamed: 0,date,category,value
0,107,2018-04-17,Blocked Street or SideWalk,36
1,108,2018-04-18,Blocked Street or SideWalk,40
2,109,2018-04-19,Blocked Street or SideWalk,31
3,110,2018-04-20,Blocked Street or SideWalk,38
0,18,2018-04-17,Blocked Street or SideWalk,36
1,19,2018-04-18,Blocked Street or SideWalk,40
2,20,2018-04-19,Blocked Street or SideWalk,31
3,21,2018-04-20,Blocked Street or SideWalk,38
0,8,2018-01-08,Catch Basin Maintenance,19
1,37,2018-03-01,Catch Basin Maintenance,13
0,99,2018-07-13,Color Curb,12
1,120,2018-08-03,Color Curb,12
0,30,2018-02-22,Construction Zone Permits,19
1,38,2018-03-13,Construction Zone Permits,20
0,51,2018-02-20,Damaged Property,59
1,122,2018-05-02,Damaged Property,57
0,101,2018-04-11,General Request - MTA,50
1,116,2018-04-26,General Request - MTA,49
2,186,2018-07-05,General Request - MTA,51
0,94,2018-04-04,General Request - PUBLIC WORKS,90
1,108,2018-04-18,General Request - PUBLIC WORKS,102
2,109,2018-04-19,General Request - PUBLIC WORKS,114
3,110,2018-04-20,General Request - PUBLIC WORKS,93
0,235,2018-08-23,General Request - PUBLIC WORKS,102
0,8,2018-01-08,General Request - PUC,38
1,72,2018-03-13,General Request - PUC,21
2,73,2018-03-14,General Request - PUC,18
3,96,2018-04-06,General Request - PUC,25
0,57,2018-03-14,General Request - TT COLLECTOR,11
1,98,2018-05-07,General Request - TT COLLECTOR,13
0,22,2018-01-22,Graffiti,503
1,82,2018-03-23,Graffiti,509
2,99,2018-04-09,Graffiti,523
0,23,2018-01-23,Illegal Postings,95
0,16,2018-01-16,Litter Receptacles,38
0,90,2018-03-31,Noise Report,36
1,185,2018-07-04,Noise Report,48
0,21,2018-01-21,Rec and Park Requests,40
0,85,2018-03-26,Rec and Park Requests,47
1,140,2018-05-20,Rec and Park Requests,51
0,107,2018-04-19,Residential Building Request,21
0,8,2018-01-08,Sewer Issues,168
1,60,2018-03-01,Sewer Issues,148
2,96,2018-04-06,Sewer Issues,103
3,97,2018-04-07,Sewer Issues,59
0,45,2018-02-15,SFHA Requests,16
1,46,2018-02-16,SFHA Requests,13
2,87,2018-03-29,SFHA Requests,13
3,95,2018-04-06,SFHA Requests,16
4,97,2018-04-08,SFHA Requests,13
5,99,2018-04-10,SFHA Requests,12
6,128,2018-05-09,SFHA Requests,14
0,7,2018-01-07,Sidewalk or Curb,34
1,22,2018-01-22,Sidewalk or Curb,39
0,99,2018-04-09,Sidewalk or Curb,53
1,102,2018-04-12,Sidewalk or Curb,58
2,108,2018-04-18,Sidewalk or Curb,50
0,183,2018-07-02,Street and Sidewalk Cleaning,902
0,14,2018-01-14,Streetlights,45
1,16,2018-01-16,Streetlights,53
2,19,2018-01-19,Streetlights,32
3,23,2018-01-23,Streetlights,32
4,25,2018-01-25,Streetlights,30
5,30,2018-01-30,Streetlights,32
6,38,2018-02-07,Streetlights,40
7,44,2018-02-13,Streetlights,31
8,54,2018-02-23,Streetlights,30
9,58,2018-02-27,Streetlights,43
10,69,2018-03-10,Streetlights,31
11,78,2018-03-19,Streetlights,74
12,136,2018-05-16,Streetlights,46
13,212,2018-07-31,Streetlights,32
14,226,2018-08-14,Streetlights,31
0,8,2018-01-09,Temporary Sign Request,62
1,16,2018-01-18,Temporary Sign Request,87
2,17,2018-01-19,Temporary Sign Request,74
3,66,2018-03-14,Temporary Sign Request,63
4,68,2018-03-16,Temporary Sign Request,113
5,79,2018-03-27,Temporary Sign Request,106
0,9,2018-01-09,Tree Maintenance,51
1,81,2018-03-22,Tree Maintenance,62
