date,category,value
2018-01-01 00:00:00,Abandoned Vehicle,1
2018-01-01 00:00:00,General Request - ANIMAL CARE CONTROL,1
2018-01-01 00:00:00,General Request - PUC,1
2018-01-01 00:00:00,Graffiti,1
2018-01-01 00:00:00,MUNI Feedback,1
2018-01-01 00:00:00,Noise Report,1
2018-01-01 00:00:00,Sewer Issues,1
2018-01-01 00:00:00,Street and Sidewalk Cleaning,4
2018-01-01 01:00:00,MUNI Feedback,1
2018-01-01 01:00:00,Noise Report,5
2018-01-01 02:00:00,Encampments,1
2018-01-01 02:00:00,General Request - PUBLIC WORKS,1
2018-01-01 02:00:00,Homeless Concerns,3
2018-01-01 02:00:00,MUNI Feedback,1
2018-01-01 02:00:00,Noise Report,3
2018-01-01 02:00:00,Street and Sidewalk Cleaning,2
2018-01-01 04:00:00,Noise Report,1
2018-01-01 04:00:00,Street and Sidewalk Cleaning,4
2018-01-01 05:00:00,Homeless Concerns,1
2018-01-01 05:00:00,MUNI Feedback,1
2018-01-01 05:00:00,Noise Report,1
2018-01-01 05:00:00,Street and Sidewalk Cleaning,1
2018-01-01 06:00:00,MUNI Feedback,1
2018-01-01 06:00:00,Street and Sidewalk Cleaning,1
2018-01-01 07:00:00,Abandoned Vehicle,1
2018-01-01 07:00:00,Encampments,1
2018-01-01 07:00:00,Homeless Concerns,1
2018-01-01 07:00:00,Litter Receptacles,1
2018-01-01 07:00:00,Rec and Park Requests,1
2018-01-01 07:00:00,Residential Building Request,1
2018-01-01 07:00:00,SFHA Requests,1
2018-01-01 07:00:00,Sidewalk or Curb,1
2018-01-01 07:00:00,Street and Sidewalk Cleaning,9
2018-01-01 08:00:00,Abandoned Vehicle,2
2018-01-01 08:00:00,Blocked Street or SideWalk,1
2018-01-01 08:00:00,Damaged Property,1
2018-01-01 08:00:00,Encampments,3
2018-01-01 08:00:00,General Request - PUBLIC WORKS,3
2018-01-01 08:00:00,Graffiti,7
2018-01-01 08:00:00,Homeless Concerns,3
2018-01-01 08:00:00,Litter Receptacles,1
2018-01-01 08:00:00,Noise Report,1
2018-01-01 08:00:00,Rec and Park Requests,2
2018-01-01 08:00:00,Residential Building Request,1
2018-01-01 08:00:00,Sidewalk or Curb,2
2018-01-01 08:00:00,Street and Sidewalk Cleaning,34
2018-01-01 09:00:00,Abandoned Vehicle,2
2018-01-01 09:00:00,Encampments,1
2018-01-01 09:00:00,General Request - PUBLIC WORKS,1
2018-01-01 09:00:00,Graffiti,8
2018-01-01 09:00:00,Homeless Concerns,3
2018-01-01 09:00:00,Illegal Postings,1
2018-01-01 09:00:00,Litter Receptacles,2
2018-01-01 09:00:00,MUNI Feedback,1
2018-01-01 09:00:00,Residential Building Request,1
2018-01-01 09:00:00,Street and Sidewalk Cleaning,30
2018-01-01 09:00:00,Tree Maintenance,1
2018-01-01 10:00:00,Abandoned Vehicle,5
2018-01-01 10:00:00,Damaged Property,1
2018-01-01 10:00:00,Encampments,1
2018-01-01 10:00:00,General Request - PUBLIC WORKS,2
2018-01-01 10:00:00,Graffiti,7
2018-01-01 10:00:00,Homeless Concerns,5
2018-01-01 10:00:00,Litter Receptacles,1
2018-01-01 10:00:00,Noise Report,2
2018-01-01 10:00:00,Rec and Park Requests,4
2018-01-01 10:00:00,Residential Building Request,4
2018-01-01 10:00:00,Street and Sidewalk Cleaning,43
2018-01-01 10:00:00,Tree Maintenance,1
2018-01-01 11:00:00,Abandoned Vehicle,4
2018-01-01 11:00:00,Blocked Street or SideWalk,6
2018-01-01 11:00:00,Catch Basin Maintenance,1
2018-01-01 11:00:00,Damaged Property,1
2018-01-01 11:00:00,Encampments,43
2018-01-01 11:00:00,General Request - PLANNING,1
2018-01-01 11:00:00,General Request - PUBLIC WORKS,2
2018-01-01 11:00:00,Graffiti,18
2018-01-01 11:00:00,Homeless Concerns,38
2018-01-01 11:00:00,Illegal Postings,1
2018-01-01 11:00:00,MUNI Feedback,2
2018-01-01 11:00:00,Noise Report,5
2018-01-01 11:00:00,Rec and Park Requests,3
2018-01-01 11:00:00,Residential Building Request,1
2018-01-01 11:00:00,Sidewalk or Curb,3
2018-01-01 11:00:00,Sign Repair,1
2018-01-01 11:00:00,Street Defects,1
2018-01-01 11:00:00,Street and Sidewalk Cleaning,89
2018-01-01 11:00:00,Tree Maintenance,2
2018-01-01 12:00:00,Abandoned Vehicle,6
2018-01-01 12:00:00,Damaged Property,2
2018-01-01 12:00:00,Encampments,9
2018-01-01 12:00:00,General Request - PUBLIC WORKS,3
2018-01-01 12:00:00,General Request - PUC,1
2018-01-01 12:00:00,General Request - RPD,1
2018-01-01 12:00:00,Graffiti,6
2018-01-01 12:00:00,Homeless Concerns,6
2018-01-01 12:00:00,Litter Receptacles,1
2018-01-01 12:00:00,MUNI Feedback,1
2018-01-01 12:00:00,Rec and Park Requests,3
2018-01-01 12:00:00,Residential Building Request,1
2018-01-01 12:00:00,Sewer Issues,1
2018-01-01 12:00:00,Sign Repair,3
2018-01-01 12:00:00,Street and Sidewalk Cleaning,31
2018-01-01 12:00:00,Streetlights,1
2018-01-01 13:00:00,Abandoned Vehicle,2
2018-01-01 13:00:00,Color Curb,1
2018-01-01 13:00:00,Damaged Property,3
2018-01-01 13:00:00,Encampments,7
2018-01-01 13:00:00,Graffiti,1
2018-01-01 13:00:00,Homeless Concerns,10
2018-01-01 13:00:00,Litter Receptacles,1
2018-01-01 13:00:00,MUNI Feedback,2
2018-01-01 13:00:00,Noise Report,2
2018-01-01 13:00:00,Rec and Park Requests,2
2018-01-01 13:00:00,Sewer Issues,1
2018-01-01 13:00:00,Sidewalk or Curb,1
2018-01-01 13:00:00,Street and Sidewalk Cleaning,24
2018-01-01 13:00:00,Tree Maintenance,2
2018-01-01 14:00:00,Abandoned Vehicle,3
2018-01-01 14:00:00,Color Curb,1
2018-01-01 14:00:00,Damaged Property,3
2018-01-01 14:00:00,Encampments,8
2018-01-01 14:00:00,General Request - COUNTY CLERK,1
2018-01-01 14:00:00,General Request - MTA,1
2018-01-01 14:00:00,General Request - PUBLIC WORKS,1
2018-01-01 14:00:00,Graffiti,4
2018-01-01 14:00:00,Homeless Concerns,5
2018-01-01 14:00:00,Litter Receptacles,1
2018-01-01 14:00:00,Noise Report,1
2018-01-01 14:00:00,Sewer Issues,1
2018-01-01 14:00:00,Sign Repair,2
2018-01-01 14:00:00,Street and Sidewalk Cleaning,35
2018-01-01 14:00:00,Streetlights,1
2018-01-01 15:00:00,Abandoned Vehicle,8
2018-01-01 15:00:00,Blocked Street or SideWalk,6
2018-01-01 15:00:00,Damaged Property,2
2018-01-01 15:00:00,Encampments,45
2018-01-01 15:00:00,Graffiti,7
2018-01-01 15:00:00,Homeless Concerns,28
2018-01-01 15:00:00,MUNI Feedback,1
2018-01-01 15:00:00,Sewer Issues,1
2018-01-01 15:00:00,Sign Repair,1
2018-01-01 15:00:00,Street and Sidewalk Cleaning,54
2018-01-01 15:00:00,Streetlights,2
2018-01-01 16:00:00,Abandoned Vehicle,3
2018-01-01 16:00:00,Blocked Street or SideWalk,1
2018-01-01 16:00:00,Damaged Property,3
2018-01-01 16:00:00,Encampments,13
2018-01-01 16:00:00,General Request - ART COMMISSION,1
2018-01-01 16:00:00,General Request - COUNTY CLERK,1
2018-01-01 16:00:00,General Request - DPH,1
2018-01-01 16:00:00,Graffiti,15
2018-01-01 16:00:00,Homeless Concerns,6
2018-01-01 16:00:00,MUNI Feedback,3
2018-01-01 16:00:00,Noise Report,1
2018-01-01 16:00:00,Sewer Issues,1
2018-01-01 16:00:00,Street and Sidewalk Cleaning,30
2018-01-01 16:00:00,Streetlights,1
2018-01-01 17:00:00,Abandoned Vehicle,3
2018-01-01 17:00:00,Damaged Property,1
2018-01-01 17:00:00,Encampments,4
2018-01-01 17:00:00,General Request - PUC,1
2018-01-01 17:00:00,Graffiti,3
2018-01-01 17:00:00,Homeless Concerns,5
2018-01-01 17:00:00,MUNI Feedback,1
2018-01-01 17:00:00,Noise Report,1
2018-01-01 17:00:00,Rec and Park Requests,2
2018-01-01 17:00:00,Sewer Issues,1
2018-01-01 17:00:00,Sidewalk or Curb,1
2018-01-01 17:00:00,Street and Sidewalk Cleaning,10
2018-01-01 17:00:00,Streetlights,4
2018-01-01 17:00:00,Tree Maintenance,1
2018-01-01 18:00:00,Abandoned Vehicle,5
2018-01-01 18:00:00,Encampments,2
2018-01-01 18:00:00,General Request - PUBLIC WORKS,1
2018-01-01 18:00:00,Graffiti,4
2018-01-01 18:00:00,Homeless Concerns,10
