date,category,date,value,label
2018-01-01,Abandoned Vehicle,2018-01-01,52,0
2018-01-01,Blocked Street or SideWalk,2018-01-01,14,0
2018-01-01,Catch Basin Maintenance,2018-01-01,1,0
2018-01-01,Color Curb,2018-01-01,2,0
2018-01-01,Damaged Property,2018-01-01,18,0
2018-01-01,Encampments,2018-01-01,157,0
2018-01-01,General Request - ANIMAL CARE CONTROL,2018-01-01,1,0
2018-01-01,General Request - ART COMMISSION,2018-01-01,1,0
2018-01-01,General Request - COUNTY CLERK,2018-01-01,3,0
2018-01-01,General Request - DPH,2018-01-01,3,0
2018-01-01,General Request - MTA,2018-01-01,1,0
2018-01-01,General Request - PLANNING,2018-01-01,1,0
2018-01-01,General Request - PUBLIC WORKS,2018-01-01,15,0
2018-01-01,General Request - PUC,2018-01-01,3,0
2018-01-01,General Request - RPD,2018-01-01,1,0
2018-01-01,Graffiti,2018-01-01,89,0
2018-01-01,Homeless Concerns,2018-01-01,131,0
2018-01-01,Illegal Postings,2018-01-01,4,0
2018-01-01,Litter Receptacles,2018-01-01,8,0
2018-01-01,MUNI Feedback,2018-01-01,19,0
2018-01-01,Noise Report,2018-01-01,28,0
2018-01-01,Rec and Park Requests,2018-01-01,24,0
2018-01-01,Residential Building Request,2018-01-01,9,0
2018-01-01,SFHA Requests,2018-01-01,3,0
2018-01-01,Sewer Issues,2018-01-01,9,0
2018-01-01,Sidewalk or Curb,2018-01-01,8,0
2018-01-01,Sign Repair,2018-01-01,10,0
2018-01-01,Street Defects,2018-01-01,1,0
2018-01-01,Street and Sidewalk Cleaning,2018-01-01,446,0
2018-01-01,Streetlights,2018-01-01,15,0
2018-01-01,Tree Maintenance,2018-01-01,9,0
2018-01-02,311 External Request,2018-01-02,1,0
2018-01-02,Abandoned Vehicle,2018-01-02,111,0
2018-01-02,Blocked Street or SideWalk,2018-01-02,19,0
2018-01-02,Catch Basin Maintenance,2018-01-02,1,0
2018-01-02,Color Curb,2018-01-02,1,0
2018-01-02,Damaged Property,2018-01-02,36,0
2018-01-02,Encampments,2018-01-02,238,0
2018-01-02,General Request - 311CUSTOMERSERVICECENTER,2018-01-02,3,0
2018-01-02,General Request - ANIMAL CARE CONTROL,2018-01-02,3,0
2018-01-02,General Request - ASSESSOR RECORDER,2018-01-02,4,0
2018-01-02,General Request - BUILDING INSPECTION,2018-01-02,2,0
2018-01-02,General Request - COUNTY CLERK,2018-01-02,19,0
2018-01-02,General Request - DPH,2018-01-02,13,0
2018-01-02,General Request - MTA,2018-01-02,13,0
2018-01-02,General Request - PLANNING,2018-01-02,1,0
2018-01-02,General Request - PORT AUTHORITY,2018-01-02,1,0
2018-01-02,General Request - PUBLIC WORKS,2018-01-02,28,0
2018-01-02,General Request - PUC,2018-01-02,5,0
2018-01-02,General Request - REAL ESTATE DEPARTMENT,2018-01-02,1,0
2018-01-02,General Request - RPD,2018-01-02,1,0
2018-01-02,General Request - TT COLLECTOR,2018-01-02,5,0
2018-01-02,Graffiti,2018-01-02,260,0
2018-01-02,Homeless Concerns,2018-01-02,190,0
2018-01-02,Illegal Postings,2018-01-02,5,0
2018-01-02,Litter Receptacles,2018-01-02,23,0
2018-01-02,MUNI Feedback,2018-01-02,49,0
2018-01-02,Noise Report,2018-01-02,14,0
2018-01-02,Rec and Park Requests,2018-01-02,20,0
2018-01-02,Residential Building Request,2018-01-02,8,0
2018-01-02,SFHA Requests,2018-01-02,3,0
2018-01-02,Sewer Issues,2018-01-02,47,0
2018-01-02,Sidewalk or Curb,2018-01-02,9,0
2018-01-02,Sign Repair,2018-01-02,16,0
2018-01-02,Street Defects,2018-01-02,20,0
2018-01-02,Street and Sidewalk Cleaning,2018-01-02,752,0
2018-01-02,Streetlights,2018-01-02,24,0
2018-01-02,Temporary Sign Request,2018-01-02,35,0
2018-01-02,Tree Maintenance,2018-01-02,31,0
2018-01-03,311 External Request,2018-01-03,3,0
2018-01-03,Abandoned Vehicle,2018-01-03,103,0
2018-01-03,Blocked Street or SideWalk,2018-01-03,25,0
2018-01-03,Catch Basin Maintenance,2018-01-03,1,0
2018-01-03,Color Curb,2018-01-03,4,0
2018-01-03,DPW Volunteer Programs,2018-01-03,1,0
2018-01-03,Damaged Property,2018-01-03,43,0
2018-01-03,Encampments,2018-01-03,248,0
2018-01-03,General Request - 311CUSTOMERSERVICECENTER,2018-01-03,5,0
2018-01-03,General Request - ANIMAL CARE CONTROL,2018-01-03,2,0
2018-01-03,General Request - ASSESSOR RECORDER,2018-01-03,2,0
2018-01-03,General Request - BUILDING INSPECTION,2018-01-03,1,0
2018-01-03,General Request - COUNTY CLERK,2018-01-03,18,0
2018-01-03,General Request - DPH,2018-01-03,11,0
2018-01-03,General Request - ENTERTAINMENT COMMISSION,2018-01-03,1,0
2018-01-03,General Request - MTA,2018-01-03,28,0
2018-01-03,General Request - PUBLIC WORKS,2018-01-03,31,0
2018-01-03,General Request - PUC,2018-01-03,9,0
2018-01-03,General Request - SMALL BUSINESS,2018-01-03,1,0
2018-01-03,General Request - TT COLLECTOR,2018-01-03,4,0
2018-01-03,Graffiti,2018-01-03,275,0
2018-01-03,Homeless Concerns,2018-01-03,181,0
2018-01-03,Illegal Postings,2018-01-03,4,0
2018-01-03,Litter Receptacles,2018-01-03,21,0
2018-01-03,MUNI Feedback,2018-01-03,40,0
2018-01-03,Noise Report,2018-01-03,23,0
2018-01-03,Rec and Park Requests,2018-01-03,17,0
2018-01-03,Residential Building Request,2018-01-03,2,0
2018-01-03,SFHA Requests,2018-01-03,2,0
2018-01-03,Sewer Issues,2018-01-03,16,0
2018-01-03,Sidewalk or Curb,2018-01-03,14,0
2018-01-03,Sign Repair,2018-01-03,13,0
2018-01-03,Street Defects,2018-01-03,12,0
2018-01-03,Street and Sidewalk Cleaning,2018-01-03,686,0
2018-01-03,Streetlights,2018-01-03,38,0
2018-01-03,Temporary Sign Request,2018-01-03,35,0
2018-01-03,Tree Maintenance,2018-01-03,22,0
2018-01-04,311 External Request,2018-01-04,3,0
2018-01-04,Abandoned Vehicle,2018-01-04,101,0
2018-01-04,Blocked Street or SideWalk,2018-01-04,25,0
2018-01-04,Catch Basin Maintenance,2018-01-04,1,0
2018-01-04,Color Curb,2018-01-04,1,0
2018-01-04,Construction Zone Permits,2018-01-04,5,0
2018-01-04,DPW Volunteer Programs,2018-01-04,1,0
2018-01-04,Damaged Property,2018-01-04,33,0
2018-01-04,Encampments,2018-01-04,205,0
2018-01-04,General Request - 311CUSTOMERSERVICECENTER,2018-01-04,1,0
2018-01-04,General Request - ASSESSOR RECORDER,2018-01-04,1,0
2018-01-04,General Request - BUILDING INSPECTION,2018-01-04,2,0
2018-01-04,General Request - CITYADMINISTRATOR GSA,2018-01-04,1,0
2018-01-04,General Request - COUNTY CLERK,2018-01-04,8,0
2018-01-04,General Request - DPH,2018-01-04,14,0
2018-01-04,General Request - HUMAN RIGHTS COMMISSION,2018-01-04,1,0
2018-01-04,General Request - MTA,2018-01-04,12,0
2018-01-04,General Request - PUBLIC WORKS,2018-01-04,23,0
2018-01-04,General Request - PUC,2018-01-04,7,0
2018-01-04,General Request - TT COLLECTOR,2018-01-04,1,0
2018-01-04,Graffiti,2018-01-04,252,0
2018-01-04,Homeless Concerns,2018-01-04,150,0
2018-01-04,Illegal Postings,2018-01-04,18,0
2018-01-04,Litter Receptacles,2018-01-04,21,0
2018-01-04,MUNI Feedback,2018-01-04,53,0
2018-01-04,Noise Report,2018-01-04,18,0
2018-01-04,Rec and Park Requests,2018-01-04,9,0
2018-01-04,Residential Building Request,2018-01-04,6,0
2018-01-04,SFHA Requests,2018-01-04,4,0
2018-01-04,Sewer Issues,2018-01-04,24,0
2018-01-04,Sidewalk or Curb,2018-01-04,12,0
2018-01-04,Sign Repair,2018-01-04,19,0
2018-01-04,Street Defects,2018-01-04,25,0
2018-01-04,Street and Sidewalk Cleaning,2018-01-04,645,0
2018-01-04,Streetlights,2018-01-04,22,0
2018-01-04,Temporary Sign Request,2018-01-04,34,0
2018-01-04,Tree Maintenance,2018-01-04,20,0
2018-01-05,311 External Request,2018-01-05,1,0
2018-01-05,Abandoned Vehicle,2018-01-05,66,0
2018-01-05,Blocked Street or SideWalk,2018-01-05,19,0
2018-01-05,Catch Basin Maintenance,2018-01-05,2,0
2018-01-05,Color Curb,2018-01-05,1,0
2018-01-05,Construction Zone Permits,2018-01-05,18,0
2018-01-05,Damaged Property,2018-01-05,34,0
2018-01-05,Encampments,2018-01-05,179,0
2018-01-05,General Request - 311CUSTOMERSERVICECENTER,2018-01-05,1,0
2018-01-05,General Request - ANIMAL CARE CONTROL,2018-01-05,1,0
2018-01-05,General Request - ASSESSOR RECORDER,2018-01-05,1,0
2018-01-05,General Request - BOARD OF SUPERVISORS,2018-01-05,1,0
2018-01-05,General Request - BUILDING INSPECTION,2018-01-05,5,0
2018-01-05,General Request - CHILDSUPPORTSERVICES,2018-01-05,1,0
2018-01-05,General Request - COUNTY CLERK,2018-01-05,14,0
2018-01-05,General Request - DPH,2018-01-05,10,0
2018-01-05,General Request - ECONOMICS AND WORKFORCE DEVELOPMENT,2018-01-05,1,0
2018-01-05,General Request - MTA,2018-01-05,27,0
2018-01-05,General Request - PUBLIC WORKS,2018-01-05,22,0
2018-01-05,General Request - PUC,2018-01-05,3,0
2018-01-05,General Request - TT COLLECTOR,2018-01-05,3,0
2018-01-05,Graffiti,2018-01-05,96,0
2018-01-05,Homeless Concerns,2018-01-05,136,0
2018-01-05,Illegal Postings,2018-01-05,5,0
2018-01-05,Litter Receptacles,2018-01-05,13,0
2018-01-05,MUNI Feedback,2018-01-05,49,0
2018-01-05,Noise Report,2018-01-05,14,0
2018-01-05,Rec and Park Requests,2018-01-05,9,0
2018-01-05,Residential Building Request,2018-01-05,4,0
2018-01-05,SFHA Requests,2018-01-05,8,0
2018-01-05,Sewer Issues,2018-01-05,30,0
2018-01-05,Sidewalk or Curb,2018-01-05,12,0
2018-01-05,Sign Repair,2018-01-05,9,0
2018-01-05,Street Defects,2018-01-05,12,0
2018-01-05,Street and Sidewalk Cleaning,2018-01-05,509,0
2018-01-05,Streetlights,2018-01-05,11,0
2018-01-05,Temporary Sign Request,2018-01-05,31,0
2018-01-05,Tree Maintenance,2018-01-05,22,0
2018-01-06,311 External Request,2018-01-06,2,0
2018-01-06,Abandoned Vehicle,2018-01-06,44,0
2018-01-06,Blocked Street or SideWalk,2018-01-06,22,0
2018-01-06,Catch Basin Maintenance,2018-01-06,2,0
2018-01-06,Color Curb,2018-01-06,1,0
2018-01-06,Damaged Property,2018-01-06,41,0
2018-01-06,Encampments,2018-01-06,218,0
2018-01-06,General Request - 311CUSTOMERSERVICECENTER,2018-01-06,3,0
2018-01-06,General Request - ASSESSOR RECORDER,2018-01-06,1,0
2018-01-06,General Request - BUILDING INSPECTION,2018-01-06,5,0
2018-01-06,General Request - COUNTY CLERK,2018-01-06,4,0
2018-01-06,General Request - DPH,2018-01-06,4,0
2018-01-06,General Request - MONS,2018-01-06,1,0
2018-01-06,General Request - MTA,2018-01-06,10,0
2018-01-06,General Request - PUBLIC WORKS,2018-01-06,19,0
2018-01-06,General Request - PUC,2018-01-06,3,0
2018-01-06,General Request - SFPD,2018-01-06,1,0
2018-01-06,Graffiti,2018-01-06,162,0
2018-01-06,Homeless Concerns,2018-01-06,152,0
2018-01-06,Illegal Postings,2018-01-06,7,0
2018-01-06,Litter Receptacles,2018-01-06,23,0
2018-01-06,MUNI Feedback,2018-01-06,38,0
2018-01-06,Noise Report,2018-01-06,10,0
2018-01-06,Rec and Park Requests,2018-01-06,27,0
2018-01-06,Residential Building Request,2018-01-06,4,0
2018-01-06,SFHA Requests,2018-01-06,5,0
2018-01-06,Sewer Issues,2018-01-06,27,0
2018-01-06,Sidewalk or Curb,2018-01-06,4,0
2018-01-06,Sign Repair,2018-01-06,18,0
2018-01-06,Street Defects,2018-01-06,13,0
2018-01-06,Street and Sidewalk Cleaning,2018-01-06,515,0
2018-01-06,Streetlights,2018-01-06,17,0
2018-01-06,Temporary Sign Request,2018-01-06,12,0
2018-01-06,Tree Maintenance,2018-01-06,12,0
2018-01-07,Abandoned Vehicle,2018-01-07,49,0
2018-01-07,Blocked Street or SideWalk,2018-01-07,10,0
2018-01-07,Catch Basin Maintenance,2018-01-07,2,0
2018-01-07,Color Curb,2018-01-07,1,0
2018-01-07,Damaged Property,2018-01-07,12,0
2018-01-07,Encampments,2018-01-07,173,0
2018-01-07,General Request - ANIMAL CARE CONTROL,2018-01-07,4,0
2018-01-07,General Request - COUNTY CLERK,2018-01-07,4,0
2018-01-07,General Request - DPH,2018-01-07,2,0
2018-01-07,General Request - MTA,2018-01-07,7,0
2018-01-07,General Request - PUBLIC WORKS,2018-01-07,13,0
2018-01-07,General Request - PUC,2018-01-07,2,0
2018-01-07,Graffiti,2018-01-07,236,0
2018-01-07,Homeless Concerns,2018-01-07,118,0
2018-01-07,Illegal Postings,2018-01-07,1,0
2018-01-07,Litter Receptacles,2018-01-07,15,0
2018-01-07,MUNI Feedback,2018-01-07,26,0
2018-01-07,Noise Report,2018-01-07,8,0
2018-01-07,Rec and Park Requests,2018-01-07,19,0
2018-01-07,Residential Building Request,2018-01-07,2,0
2018-01-07,SFHA Requests,2018-01-07,7,0
2018-01-07,Sewer Issues,2018-01-07,19,0
2018-01-07,Sidewalk or Curb,2018-01-07,34,1
2018-01-07,Sign Repair,2018-01-07,8,0
2018-01-07,Street Defects,2018-01-07,15,0
2018-01-07,Street and Sidewalk Cleaning,2018-01-07,534,0
2018-01-07,Streetlights,2018-01-07,13,0
2018-01-07,Temporary Sign Request,2018-01-07,8,0
2018-01-07,Tree Maintenance,2018-01-07,13,0
2018-01-08,311 External Request,2018-01-08,1,0
2018-01-08,Abandoned Vehicle,2018-01-08,47,0
2018-01-08,Blocked Street or SideWalk,2018-01-08,18,0
2018-01-08,Catch Basin Maintenance,2018-01-08,19,1
2018-01-08,Color Curb,2018-01-08,5,0
2018-01-08,Construction Zone Permits,2018-01-08,7,0
2018-01-08,Damaged Property,2018-01-08,30,0
2018-01-08,Encampments,2018-01-08,144,0
2018-01-08,General Request - 311CUSTOMERSERVICECENTER,2018-01-08,3,0
2018-01-08,General Request - ANIMAL CARE CONTROL,2018-01-08,2,0
2018-01-08,General Request - ASSESSOR RECORDER,2018-01-08,1,0
2018-01-08,General Request - BUILDING INSPECTION,2018-01-08,6,0
2018-01-08,General Request - COUNTY CLERK,2018-01-08,16,0
2018-01-08,General Request - DPH,2018-01-08,5,0
2018-01-08,General Request - LIBRARY PUBLIC,2018-01-08,1,0
2018-01-08,General Request - MTA,2018-01-08,18,0
2018-01-08,General Request - PUBLIC WORKS,2018-01-08,14,0
2018-01-08,General Request - PUC,2018-01-08,38,1
2018-01-08,General Request - RENT BOARD,2018-01-08,1,0
2018-01-08,General Request - TT COLLECTOR,2018-01-08,3,0
2018-01-08,Graffiti,2018-01-08,132,0
2018-01-08,Homeless Concerns,2018-01-08,102,0
2018-01-08,Illegal Postings,2018-01-08,17,0
2018-01-08,Litter Receptacles,2018-01-08,10,0
2018-01-08,MUNI Feedback,2018-01-08,62,0
2018-01-08,Noise Report,2018-01-08,10,0
2018-01-08,Rec and Park Requests,2018-01-08,9,0
2018-01-08,Residential Building Request,2018-01-08,4,0
2018-01-08,SFHA Requests,2018-01-08,6,0
2018-01-08,Sewer Issues,2018-01-08,168,1
2018-01-08,Sidewalk or Curb,2018-01-08,4,0
2018-01-08,Sign Repair,2018-01-08,6,0
2018-01-08,Street Defects,2018-01-08,45,0
2018-01-08,Street and Sidewalk Cleaning,2018-01-08,480,0
2018-01-08,Streetlights,2018-01-08,19,0
2018-01-08,Temporary Sign Request,2018-01-08,8,0
2018-01-08,Tree Maintenance,2018-01-08,24,0
2018-01-09,311 External Request,2018-01-09,2,0
2018-01-09,Abandoned Vehicle,2018-01-09,84,0
2018-01-09,Blocked Street or SideWalk,2018-01-09,25,0
2018-01-09,Catch Basin Maintenance,2018-01-09,1,0
2018-01-09,Color Curb,2018-01-09,1,0
2018-01-09,Construction Zone Permits,2018-01-09,1,0
2018-01-09,Damaged Property,2018-01-09,42,0
2018-01-09,Encampments,2018-01-09,203,0
2018-01-09,General Request - 311CUSTOMERSERVICECENTER,2018-01-09,4,0
2018-01-09,General Request - ANIMAL CARE CONTROL,2018-01-09,2,0
2018-01-09,General Request - ASSESSOR RECORDER,2018-01-09,1,0
2018-01-09,General Request - BUILDING INSPECTION,2018-01-09,2,0
2018-01-09,General Request - COUNTY CLERK,2018-01-09,14,0
2018-01-09,General Request - DISTRICT ATTORNEY,2018-01-09,1,0
2018-01-09,General Request - DPH,2018-01-09,5,0
2018-01-09,General Request - DTIS,2018-01-09,1,0
2018-01-09,General Request - FIRE DEPARTMENT,2018-01-09,1,0
2018-01-09,General Request - MTA,2018-01-09,28,0
2018-01-09,General Request - PLANNING,2018-01-09,1,0
2018-01-09,General Request - PUBLIC WORKS,2018-01-09,33,0
2018-01-09,General Request - PUC,2018-01-09,14,0
2018-01-09,General Request - TT COLLECTOR,2018-01-09,5,0
2018-01-09,Graffiti,2018-01-09,350,0
2018-01-09,Homeless Concerns,2018-01-09,152,0
2018-01-09,Illegal Postings,2018-01-09,15,0
2018-01-09,Litter Receptacles,2018-01-09,20,0
2018-01-09,MUNI Feedback,2018-01-09,65,0
2018-01-09,Noise Report,2018-01-09,21,0
2018-01-09,Rec and Park Requests,2018-01-09,13,0
2018-01-09,Residential Building Request,2018-01-09,2,0
2018-01-09,SFHA Requests,2018-01-09,8,0
2018-01-09,Sewer Issues,2018-01-09,44,0
2018-01-09,Sidewalk or Curb,2018-01-09,22,0
2018-01-09,Sign Repair,2018-01-09,15,0
2018-01-09,Street Defects,2018-01-09,35,0
2018-01-09,Street and Sidewalk Cleaning,2018-01-09,724,0
2018-01-09,Streetlights,2018-01-09,24,0
2018-01-09,Temporary Sign Request,2018-01-09,62,1
2018-01-09,Tree Maintenance,2018-01-09,51,1
2018-01-10,311 External Request,2018-01-10,2,0
2018-01-10,Abandoned Vehicle,2018-01-10,98,0
2018-01-10,Blocked Street or SideWalk,2018-01-10,20,0
2018-01-10,Catch Basin Maintenance,2018-01-10,3,0
2018-01-10,Color Curb,2018-01-10,7,0
2018-01-10,Construction Zone Permits,2018-01-10,10,0
2018-01-10,Damaged Property,2018-01-10,39,0
2018-01-10,Encampments,2018-01-10,186,0
2018-01-10,General Request - 311CUSTOMERSERVICECENTER,2018-01-10,2,0
2018-01-10,General Request - ANIMAL CARE CONTROL,2018-01-10,2,0
2018-01-10,General Request - ASSESSOR RECORDER,2018-01-10,2,0
2018-01-10,General Request - BUILDING INSPECTION,2018-01-10,6,0
2018-01-10,General Request - COUNTY CLERK,2018-01-10,6,0
2018-01-10,General Request - DPH,2018-01-10,6,0
2018-01-10,General Request - ENTERTAINMENT COMMISSION,2018-01-10,1,0
2018-01-10,General Request - MTA,2018-01-10,20,0
2018-01-10,General Request - PUBLIC WORKS,2018-01-10,26,0
2018-01-10,General Request - PUC,2018-01-10,4,0
2018-01-10,General Request - TT COLLECTOR,2018-01-10,7,0
2018-01-10,Graffiti,2018-01-10,245,0
2018-01-10,Homeless Concerns,2018-01-10,132,0
2018-01-10,Illegal Postings,2018-01-10,24,0
2018-01-10,Litter Receptacles,2018-01-10,10,0
2018-01-10,MUNI Feedback,2018-01-10,60,0
2018-01-10,Noise Report,2018-01-10,13,0
2018-01-10,Rec and Park Requests,2018-01-10,9,0
2018-01-10,Residential Building Request,2018-01-10,9,0
2018-01-10,SFHA Requests,2018-01-10,1,0
2018-01-10,Sewer Issues,2018-01-10,31,0
2018-01-10,Sidewalk or Curb,2018-01-10,9,0
2018-01-10,Sign Repair,2018-01-10,11,0
2018-01-10,Street Defects,2018-01-10,27,0
2018-01-10,Street and Sidewalk Cleaning,2018-01-10,709,0
2018-01-10,Streetlights,2018-01-10,17,0
2018-01-10,Temporary Sign Request,2018-01-10,28,0
2018-01-10,Tree Maintenance,2018-01-10,22,0
2018-01-11,311 External Request,2018-01-11,3,0
2018-01-11,Abandoned Vehicle,2018-01-11,93,0
2018-01-11,Blocked Street or SideWalk,2018-01-11,28,0
2018-01-11,Catch Basin Maintenance,2018-01-11,2,0
2018-01-11,Color Curb,2018-01-11,8,0
2018-01-11,DPW Volunteer Programs,2018-01-11,2,0
2018-01-11,Damaged Property,2018-01-11,42,0
2018-01-11,Encampments,2018-01-11,230,0
2018-01-11,General Request - 311CUSTOMERSERVICECENTER,2018-01-11,1,0
2018-01-11,General Request - ANIMAL CARE CONTROL,2018-01-11,5,0
2018-01-11,General Request - ASSESSOR RECORDER,2018-01-11,2,0
2018-01-11,General Request - BUILDING INSPECTION,2018-01-11,4,0
2018-01-11,General Request - CONTRACT ADMINISTRATION,2018-01-11,1,0
2018-01-11,General Request - COUNTY CLERK,2018-01-11,9,0
2018-01-11,General Request - DPH,2018-01-11,9,0
2018-01-11,General Request - HUMAN SERVICES AGENCY,2018-01-11,1,0
2018-01-11,General Request - MTA,2018-01-11,19,0
2018-01-11,General Request - PLANNING,2018-01-11,1,0
2018-01-11,General Request - PUBLIC WORKS,2018-01-11,40,0
2018-01-11,General Request - PUC,2018-01-11,12,0
2018-01-11,General Request - RPD,2018-01-11,1,0
2018-01-11,General Request - TT COLLECTOR,2018-01-11,1,0
2018-01-11,Graffiti,2018-01-11,198,0
2018-01-11,Homeless Concerns,2018-01-11,152,0
2018-01-11,Illegal Postings,2018-01-11,8,0
2018-01-11,Litter Receptacles,2018-01-11,25,0
2018-01-11,MUNI Feedback,2018-01-11,55,0
2018-01-11,Noise Report,2018-01-11,16,0
2018-01-11,Rec and Park Requests,2018-01-11,11,0
2018-01-11,Residential Building Request,2018-01-11,8,0
2018-01-11,SFHA Requests,2018-01-11,2,0
2018-01-11,Sewer Issues,2018-01-11,19,0
2018-01-11,Sidewalk or Curb,2018-01-11,11,0
2018-01-11,Sign Repair,2018-01-11,17,0
2018-01-11,Street Defects,2018-01-11,22,0
2018-01-11,Street and Sidewalk Cleaning,2018-01-11,619,0
2018-01-11,Streetlights,2018-01-11,23,0
2018-01-11,Temporary Sign Request,2018-01-11,27,0
2018-01-11,Tree Maintenance,2018-01-11,33,0
2018-01-12,311 External Request,2018-01-12,3,0
2018-01-12,Abandoned Vehicle,2018-01-12,81,0
2018-01-12,Blocked Street or SideWalk,2018-01-12,26,0
2018-01-12,Catch Basin Maintenance,2018-01-12,2,0
2018-01-12,Color Curb,2018-01-12,5,0
2018-01-12,Construction Zone Permits,2018-01-12,3,0
